"group","osp_status","rf_sim","n","nstocks","nstrategic","pstrategic"
"Phocids","Non-depleted",0.94,16,16,0,0
"Phocids","Non-depleted",0.95,16,16,0,0
"Phocids","Non-depleted",0.96,16,16,0,0
"Phocids","Non-depleted",0.97,16,16,0,0
"Phocids","Non-depleted",0.98,16,16,0,0
"Phocids","Non-depleted",0.99,16,16,0,0
"Phocids","Non-depleted",1,16,16,0,0
"Phocids","Unknown",0.5,3,3,1,0.333333333333333
"Phocids","Unknown",0.51,3,3,1,0.333333333333333
"Phocids","Unknown",0.52,3,3,1,0.333333333333333
"Phocids","Unknown",0.53,3,3,1,0.333333333333333
"Phocids","Unknown",0.54,3,3,1,0.333333333333333
"Phocids","Unknown",0.55,3,3,1,0.333333333333333
"Phocids","Unknown",0.56,3,3,1,0.333333333333333
"Phocids","Unknown",0.57,3,3,1,0.333333333333333
"Phocids","Unknown",0.58,3,3,1,0.333333333333333
"Phocids","Unknown",0.59,3,3,1,0.333333333333333
"Phocids","Unknown",0.6,3,3,1,0.333333333333333
"Phocids","Unknown",0.61,3,3,1,0.333333333333333
"Phocids","Unknown",0.62,3,3,1,0.333333333333333
"Phocids","Unknown",0.63,3,3,1,0.333333333333333
"Phocids","Unknown",0.64,3,3,1,0.333333333333333
"Phocids","Unknown",0.65,3,3,1,0.333333333333333
"Phocids","Unknown",0.66,3,3,1,0.333333333333333
"Phocids","Unknown",0.67,3,3,1,0.333333333333333
"Phocids","Unknown",0.68,3,3,1,0.333333333333333
"Phocids","Unknown",0.69,3,3,1,0.333333333333333
"Phocids","Unknown",0.7,3,3,1,0.333333333333333
"Phocids","Unknown",0.71,3,3,1,0.333333333333333
"Phocids","Unknown",0.72,3,3,1,0.333333333333333
"Phocids","Unknown",0.73,3,3,1,0.333333333333333
"Phocids","Unknown",0.74,3,3,1,0.333333333333333
"Phocids","Unknown",0.75,3,3,1,0.333333333333333
"Phocids","Unknown",0.76,3,3,1,0.333333333333333
"Phocids","Unknown",0.77,3,3,1,0.333333333333333
"Phocids","Unknown",0.78,3,3,1,0.333333333333333
"Phocids","Unknown",0.79,3,3,1,0.333333333333333
"Phocids","Unknown",0.8,3,3,1,0.333333333333333
"Phocids","Unknown",0.81,3,3,1,0.333333333333333
"Phocids","Unknown",0.82,3,3,1,0.333333333333333
"Phocids","Unknown",0.83,3,3,1,0.333333333333333
"Phocids","Unknown",0.84,3,3,1,0.333333333333333
"Phocids","Unknown",0.85,3,3,0,0
"Phocids","Unknown",0.86,3,3,0,0
"Phocids","Unknown",0.87,3,3,0,0
"Phocids","Unknown",0.88,3,3,0,0
"Phocids","Unknown",0.89,3,3,0,0
"Phocids","Unknown",0.9,3,3,0,0
"Phocids","Unknown",0.91,3,3,0,0
"Phocids","Unknown",0.92,3,3,0,0
"Phocids","Unknown",0.93,3,3,0,0
"Phocids","Unknown",0.94,3,3,0,0
"Phocids","Unknown",0.95,3,3,0,0
"Phocids","Unknown",0.96,3,3,0,0
"Phocids","Unknown",0.97,3,3,0,0
"Phocids","Unknown",0.98,3,3,0,0
"Phocids","Unknown",0.99,3,3,0,0
"Phocids","Unknown",1,3,3,0,0
"Porpoises","Non-depleted",0.5,8,8,1,0.125
"Porpoises","Non-depleted",0.51,8,8,1,0.125
"Porpoises","Non-depleted",0.52,8,8,1,0.125
"Porpoises","Non-depleted",0.53,8,8,1,0.125
"Porpoises","Non-depleted",0.54,8,8,1,0.125
"Porpoises","Non-depleted",0.55,8,8,1,0.125
"Porpoises","Non-depleted",0.56,8,8,1,0.125
"Porpoises","Non-depleted",0.57,8,8,1,0.125
"Porpoises","Non-depleted",0.58,8,8,1,0.125
"Porpoises","Non-depleted",0.59,8,8,1,0.125
"Porpoises","Non-depleted",0.6,8,8,1,0.125
"Porpoises","Non-depleted",0.61,8,8,0,0
"Porpoises","Non-depleted",0.62,8,8,0,0
"Porpoises","Non-depleted",0.63,8,8,0,0
"Porpoises","Non-depleted",0.64,8,8,0,0
"Porpoises","Non-depleted",0.65,8,8,0,0
"Porpoises","Non-depleted",0.66,8,8,0,0
"Porpoises","Non-depleted",0.67,8,8,0,0
"Porpoises","Non-depleted",0.68,8,8,0,0
"Porpoises","Non-depleted",0.69,8,8,0,0
"Porpoises","Non-depleted",0.7,8,8,0,0
"Porpoises","Non-depleted",0.71,8,8,0,0
"Porpoises","Non-depleted",0.72,8,8,0,0
"Porpoises","Non-depleted",0.73,8,8,0,0
"Porpoises","Non-depleted",0.74,8,8,0,0
"Porpoises","Non-depleted",0.75,8,8,0,0
"Porpoises","Non-depleted",0.76,8,8,0,0
"Porpoises","Non-depleted",0.77,8,8,0,0
"Porpoises","Non-depleted",0.78,8,8,0,0
"Porpoises","Non-depleted",0.79,8,8,0,0
"Porpoises","Non-depleted",0.8,8,8,0,0
"Porpoises","Non-depleted",0.81,8,8,0,0
"Porpoises","Non-depleted",0.82,8,8,0,0
"Porpoises","Non-depleted",0.83,8,8,0,0
"Porpoises","Non-depleted",0.84,8,8,0,0
"Porpoises","Non-depleted",0.85,8,8,0,0
"Porpoises","Non-depleted",0.86,8,8,0,0
"Porpoises","Non-depleted",0.87,8,8,0,0
"Porpoises","Non-depleted",0.88,8,8,0,0
"Porpoises","Non-depleted",0.89,8,8,0,0
"Porpoises","Non-depleted",0.9,8,8,0,0
"Porpoises","Non-depleted",0.91,8,8,0,0
"Porpoises","Non-depleted",0.92,8,8,0,0
"Porpoises","Non-depleted",0.93,8,8,0,0
"Porpoises","Non-depleted",0.94,8,8,0,0
"Porpoises","Non-depleted",0.95,8,8,0,0
"Porpoises","Non-depleted",0.96,8,8,0,0
"Porpoises","Non-depleted",0.97,8,8,0,0
"Porpoises","Non-depleted",0.98,8,8,0,0
"Porpoises","Non-depleted",0.99,8,8,0,0
"Porpoises","Non-depleted",1,8,8,0,0
"Porpoises","Unknown",0.5,1,1,0,0
"Porpoises","Unknown",0.51,1,1,0,0
"Porpoises","Unknown",0.52,1,1,0,0
"Porpoises","Unknown",0.53,1,1,0,0
"Porpoises","Unknown",0.54,1,1,0,0
"Porpoises","Unknown",0.55,1,1,0,0
"Porpoises","Unknown",0.56,1,1,0,0
"Porpoises","Unknown",0.57,1,1,0,0
"Porpoises","Unknown",0.58,1,1,0,0
"Porpoises","Unknown",0.59,1,1,0,0
"Porpoises","Unknown",0.6,1,1,0,0
"Porpoises","Unknown",0.61,1,1,0,0
"Porpoises","Unknown",0.62,1,1,0,0
"Porpoises","Unknown",0.63,1,1,0,0
"Porpoises","Unknown",0.64,1,1,0,0
"Porpoises","Unknown",0.65,1,1,0,0
"Porpoises","Unknown",0.66,1,1,0,0
"Porpoises","Unknown",0.67,1,1,0,0
"Porpoises","Unknown",0.68,1,1,0,0
"Porpoises","Unknown",0.69,1,1,0,0
"Porpoises","Unknown",0.7,1,1,0,0
"Porpoises","Unknown",0.71,1,1,0,0
"Porpoises","Unknown",0.72,1,1,0,0
"Porpoises","Unknown",0.73,1,1,0,0
"Porpoises","Unknown",0.74,1,1,0,0
"Porpoises","Unknown",0.75,1,1,0,0
"Porpoises","Unknown",0.76,1,1,0,0
"Porpoises","Unknown",0.77,1,1,0,0
"Porpoises","Unknown",0.78,1,1,0,0
"Porpoises","Unknown",0.79,1,1,0,0
"Porpoises","Unknown",0.8,1,1,0,0
"Porpoises","Unknown",0.81,1,1,0,0
"Porpoises","Unknown",0.82,1,1,0,0
"Porpoises","Unknown",0.83,1,1,0,0
"Porpoises","Unknown",0.84,1,1,0,0
"Porpoises","Unknown",0.85,1,1,0,0
"Porpoises","Unknown",0.86,1,1,0,0
"Porpoises","Unknown",0.87,1,1,0,0
"Porpoises","Unknown",0.88,1,1,0,0
"Porpoises","Unknown",0.89,1,1,0,0
"Porpoises","Unknown",0.9,1,1,0,0
"Porpoises","Unknown",0.91,1,1,0,0
"Porpoises","Unknown",0.92,1,1,0,0
"Porpoises","Unknown",0.93,1,1,0,0
"Porpoises","Unknown",0.94,1,1,0,0
