"region_orig","fishery","n"
"Atlantic","North Carolina long haul seine",7
"Atlantic","North Carolina roe mullet stop net",11
"Atlantic","Northeast anchored float gillnet",23
"Atlantic","Northeast and Mid-Atlantic fyke net",8
"Atlantic","Northeast bottom trawl",20
"Atlantic","Northeast drift gillnet",24
"Atlantic","Northeast mid-water trawl (including pair trawl)",20
"Atlantic","Northeast multispecies sink gillnet (including species as defined in the Multispecies Fisheries Management Plan and spiny dogfish and monkfish)",1
"Atlantic","Northeast sink gilinet",1
"Atlantic","Northeast sink gillnet",25
"Atlantic","Northeast trap/pot",2
"Atlantic","Northeast/Mid-Atlantic American lobster and Jonah crab trap/pot",1
"Atlantic","Northeast/Mid-Atlantic American lobster trap/ pot",1
"Atlantic","Northeast/Mid-Atlantic American lobster trap/pot",22
"Atlantic","Northeast/Mid-Atlantic bottom longline/hook-and-line",20
"Atlantic","Offshore monkfish bottom gillnet",1
"Atlantic","RI floating trap",13
"Atlantic","RI, southern MA (to Monomoy Island), and NY Bight (Raritan and Lower NY Bays) inshore gillnet",17
"Atlantic","Rhode Island, southern Massachusetts (to Monomoy Island), and New York Bight (Raritan and Lower New York Bays) inshore gillnet",10
"Atlantic","Rhode Island, southern Massachusetts (to Monomoy Island), and New York Bight (Raritan and Lower New York Bays) inshore gillnet.",1
"Atlantic","Shellfish aquaculture",27
"Atlantic","Southeast Atlantic gilinet",1
"Atlantic","Southeast Atlantic gillnet",23
"Atlantic","Southeast Atlantic inshore gillnet",19
"Atlantic","Southeastern U.S. Atlantic coastal gillnet",1
"Atlantic","Southeastern U.S. Atlantic haul/beach seine",17
"Atlantic","Southeastern U.S. Atlantic shark gillnet",24
"Atlantic","Southeastern U.S. Atlantic shark gillnet U.S. Mid-Atlantic coastal gillnet",2
"Atlantic","Southeastern U.S. Atlantic shark gillnet fishery",2
"Atlantic","Southeastern U.S. Atlantic, Caribbean haul seine",4
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico & U.S. Mid-Atlantic pelagic hook-and-line/harpoon.",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico & U.S. mid-Atlantic pelagic hook-and-line/harpoon",3
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico coastal shrimp trawl",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico golden crab trap/ pot",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico golden crab trap/pot",23
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico shark bottom longline/ hook-and-line",4
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico shark bottom longline/hook-and-line",23
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico shark bottom longline/hook-and-line.",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico shrimp trawl",21
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico snapper-grouper and other reef fish bottom longline/hook-and-line",3
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico snapper-grouper and other reef fish bottom longline/hook-and-line.",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico stone crab trap/ pot",5
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico stone crab trap/pot",17
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico stone crab trap/pot U.S. Mid-Atlantic eel trap/pot",2
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, Caribbean spiny",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, Caribbean spiny lobster trap/pot",2
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, Caribbean spiny lobster trap/pot.",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, U.S. Mid-Atlantic pelagic hook-and-line/harpoon",2
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean pelagic hook-and- line/harpoon",2
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean pelagic hook-and-line/harpoon",20
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snapper-grouper and other reef fish bottom longline/ hook-and-line",7
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snapper-grouper and other reef fish bottom longline/hook- and-line",2
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snapper-grouper and other reef fish bottom longline/hook- i and-line",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snapper-grouper and other reef fish bottom longline/hook-and-line",10
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snappergrouper and other reef fish bottom longline/hook-and-line",1
"Atlantic","Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snappergrouper and other reef fish bottom longline/hookand-line",1
"Atlantic","Southeastern U.S. Atlantic, haul/beach seine",7
"Atlantic","U.S. Atlantic large pelagics pair trawl",1
"Atlantic","U.S. Atlantic monkfish trawl",8
"Atlantic","U.S. Atlantic tuna purse seine",23
"Atlantic","U.S. Atlantic tuna purse seine U.S. Mid-Atlantic hand seine",2
"Atlantic","U.S. Atlantic, Gulf of Mexico trotline",16
"Atlantic","U.S. Mid-Atlantic and Southeast U.S. Atlantic black sea bass trap/ pot",2
"Atlantic","U.S. Mid-Atlantic crab stop seine/weir",24
"Atlantic","U.S. Mid-Atlantic eel trap/pot",20
"Atlantic","U.S. Mid-Atlantic eel trap/pot STOP SEINE/WEIR/POUND NET/FLOATING",1
"Atlantic","U.S. Mid-Atlantic hand seine",6
"Atlantic","U.S. Mid-Atlantic mixed species stop po seine/weir/pound net (except the NC roe mullet stop net)",1
"Atlantic","U.S. Mid-Atlantic mixed species stop seine/ weir/pound net (except the NC roe mullet stop net)",1
"Atlantic","U.S. Mid-Atlantic mixed species stop seine/weir/ pound net (except the North Carolina roe mullet stop net)",2
"Atlantic","U.S. Mid-Atlantic mixed species stop seine/weir/pound net (except the NC roe mullet stop net)",14
"Atlantic","U.S. Mid-Atlantic mixed species stop seine/weir/pound net (except the North Carolina roe mullet stop net)",6
"Atlantic","U.S. Mid-Atlantic offshore surf clam and quahog dredge",15
"Atlantic","U.S. Mid-Atlantic/Gulf of Mexico oyster",9
"Atlantic","U.S. Mid-Atlantic/Gulf of Mexico oyster dredge",15
"Atlantic","U.S. mid-Atlantic and Southeast U.S. Atlantic black sea bass trap/pot",3
"Atlantic","U.S. mid-Atlantic and Southeast U.S. Atlantic black sea bass trap/pot.",1
"Atlantic","U.S. mid-Atlantic coastal gillnet",2
"Atlantic","U.S. mid-Atlantic coastal gillnet fishery",2
"Atlantic","U.S. mid-Atlantic crab stop seine/weir",4
"Atlantic","U.S. mid-Atlantic eel trap/pot",4
"Atlantic","U.S. mid-Atlantic hand seine",3
"Atlantic","U.S. mid-Atlantic mixed species stop/seine/weir (except the North Carolina roe mullet stop net)",3
"Atlantic","U.S. mid-Atlantic mixed species stop/seine/weir (except the North Carolina roe mullet stop net).",1
"Atlantic","U.S. mid-Atlantic offshore surfclam and quahog dredge",4
"Atlantic","U.S. mid-Atlantic/Gulf of Mexico oyster",4
"Atlantic","US. Atlantic tuna purse seine",1
"Atlantic","VA pound net",17
"Atlantic","Virginia pound net",7
"Atlantic","Virginia shrimp trawl",1
"Atlantic","finfish aquaculture",1
"Atlantic","shellfish aquaculture",1
"High seas","Atlantic Highly Migratory Species",77
